"id","title_original","title_cn","resource_type","category","subject","education_level","audience","language","region","publisher","summary_cn","use_case_cn","source_url","published_date","accessed_date","access_type"
"resource-020","Using AI Tools in the Classroom","Google for Education：课堂 AI 工具资源指南","教师指南","AI for Teaching & Assessment","教育AI工具/教师支持/课堂应用","K-12/高等教育","教师/学校领导","英文","全球","Google for Education","Google for Education 汇总面向学校的 AI 教育资源、工具说明和课堂使用建议，适合了解 AI 如何嵌入学校数字化环境。","学校可用它梳理现有 Google 工具中的 AI 功能，并制定教师试点清单、学生使用规则和家长说明。","https://edu.google.com/intl/ALL_us/ai-resources-in-education/","2025","2026-07-04","免费"
"resource-021","AI for Oceans","Code.org AI for Oceans 机器学习启蒙活动","学生课程","AI+STEM","机器学习/分类/海洋环保","小学/初中","学生/教师","英文","全球","Code.org","AI for Oceans 通过可视化活动让学生训练模型区分海洋中的物体，理解机器学习、训练数据和偏见。","适合 45 分钟导入课：学生训练模型后讨论“为什么模型会错”“训练数据如何影响结果”。","https://studio.code.org/s/oceans/lessons/1/levels/1","2019","2026-07-04","免费"
"resource-022","Elements of AI","Elements of AI 公民 AI 课程","课程/教材","AI Literacy","AI基础/机器学习/社会影响","高中/大学/成人教育","学生/公众/教师","英文","芬兰/全球","University of Helsinki/MinnaLearn","Elements of AI 是面向公众的免费 AI 课程，讲解 AI 基本概念、机器学习、神经网络和社会影响。","高中或大学可把它作为翻转课堂材料，学生课前完成章节，课堂上讨论本地案例和伦理问题。","https://www.elementsofai.com/","2019","2026-07-04","免费"
"resource-023","Artificial Intelligence in Education","新加坡教育部：AI in Education","政策框架","AI Literacy","教育科技规划/AI学习支持/学生AI素养","中小学","教师/学生/学校领导","英文","新加坡","Ministry of Education Singapore","新加坡教育部介绍 AI 在教育中的定位，包括学生学习空间、个性化支持、教师专业判断和负责任使用。适合了解国家层面的 AI 教育部署。","可用于学校战略规划：把 AI 用途分成学习支持、教师辅助、数据洞察和学生素养四个模块。","https://www.moe.gov.sg/education-in-sg/educational-technology-journey/edtech-masterplan/artificial-intelligence-in-education","2024","2026-07-04","免费"
"resource-024","AI in Education: Transforming Singapore’s education system with Student Learning Space","新加坡 GovTech：学生学习空间中的 AI 应用","研究报告","AI for Teaching & Assessment","自适应学习/学习平台/AI反馈","中小学","教师/学校领导/教育科技团队","英文","新加坡","GovTech Singapore","新加坡 GovTech 介绍 Student Learning Space 中的 AI 教育应用，展示 AI 如何支持学生练习、反馈和教师教学决策。","适合平台建设参考：把 AI 功能拆成“推荐、反馈、诊断、教师仪表板”，再逐项评估数据和教学价值。","https://www.tech.gov.sg/technews/ai-in-education-transforming-singapore-education-system-with-student-learning-space/","2024","2026-07-04","免费"
"resource-025","Australian Framework for Generative Artificial Intelligence in Schools","澳大利亚学校生成式 AI 框架","政策框架","AI for Teaching & Assessment","生成式AI学校治理/安全/公平","中小学","教师/学校领导/学生/家长","英文","澳大利亚","Australian Government Department of Education","澳大利亚政府发布面向学校的生成式 AI 框架，强调安全、教学价值、隐私、公平和透明使用。","学校可用它检查 AI 政策是否覆盖学生安全、数据保护、教师审核、偏见风险和学习完整性。","https://www.education.gov.au/schooling/resources/australian-framework-generative-artificial-intelligence-ai-schools","2023","2026-07-04","免费"
"resource-026","Australian Framework for Generative Artificial Intelligence (AI) in Schools","AITSL：澳大利亚学校生成式 AI 框架教师资源","教师指南","AI for Teaching & Assessment","教师专业实践/生成式AI应用","中小学","教师/学校领导","英文","澳大利亚","AITSL","AITSL 对澳大利亚生成式 AI 学校框架进行教师视角整理，帮助教育工作者理解框架并迁移到专业实践。","可用于教师会议：先阅读框架摘要，再让各学科组列出一个允许用 AI 和一个不应使用 AI 的课堂场景。","https://www.aitsl.edu.au/tools-resources/resource/the-australian-framework-for-generative-artificial-intelligence-%28ai%29-in-schools","2024","2026-07-04","免费"
"resource-027","Curriculum connection: Artificial intelligence","澳大利亚课程：AI 课程连接","教师指南","AI Literacy","AI课程连接/跨学科设计","中小学","教师/课程设计者","英文","澳大利亚","Australian Curriculum","澳大利亚课程网站提供 AI 课程连接，帮助教师把 AI 与既有课程内容和能力要求关联起来。","备课时可先找相关课程点，再设计一个 AI 情境任务，确保活动不是孤立工具体验。","https://www.australiancurriculum.edu.au/curriculum-information/understand-this-curriculum-connection/artificial-intelligence","2024","2026-07-04","免费"
"resource-028","Generative artificial intelligence (AI) in education","英国教育部：生成式 AI 在教育中的使用指引","政策框架","AI for Teaching & Assessment","生成式AI政策/学校与学院指引","中小学/高等教育","教师/学校领导/教育机构","英文","英国","UK Department for Education","英国教育部发布生成式 AI 在教育中的官方指引，涵盖教师使用、学生学习、数据保护、知识产权和评估诚信。","适合学校政策制订时引用：把指引转化为学生作业披露、教师审核和敏感数据禁用清单。","https://www.gov.uk/government/publications/generative-artificial-intelligence-in-education/generative-artificial-intelligence-ai-in-education","2024","2026-07-04","免费"
"resource-029","Artificial intelligence in schools: everything you need to know","英国 Education Hub：学校 AI 问答说明","教师指南","AI for Teaching & Assessment","学校AI应用/家校沟通/政策问答","中小学","教师/家长/学校领导","英文","英国","UK Department for Education","英国 Education Hub 用问答形式解释学校中 AI 的使用、政府支持和安全考虑，适合向家长和教师沟通政策背景。","可改写成学校家长说明会材料，回答“学生能否用 AI”“教师怎样检查”“学校怎样保护数据”等问题。","https://educationhub.blog.gov.uk/2025/06/artificial-intelligence-in-schools-everything-you-need-to-know/","2025","2026-07-04","免费"
"resource-030","Launching Taiwan’s Nationwide AI Literacy for All Initiative","台湾 Day of AI：全民 AI 素养计划","学生课程","AI Literacy","AI素养普及/学生课程","小学/初中","学生/教师","英文","台湾","Day of AI/CommonWealth Education Innovation Hub","Day of AI 介绍台湾推动全民 AI 素养计划，把 AI 学习资源带入学校和学生学习场景。","可作为地区项目案例，让学校参考“统一课程资源 + 教师支持 + 学生活动日”的推广方式。","https://dayofai.org/news/launching-taiwans-nationwide-ai-literacy-for-all-initiative","2025","2026-07-04","免费"
"resource-031","LITEON AI Literacy","光宝 AI Literacy 推广计划","课程/教材","AI Literacy","AI素养/公益教育/学生课程","小学/初中","学生/教师","英文","台湾","LITEON","光宝介绍 AI Literacy 推广计划，关注学生 AI 素养、课程活动和公益教育合作。","适合参考企业与学校合作方式：以基础 AI 概念、实际应用和社会责任为三段式课程结构。","https://www.liteon.com/en/html/ai-literacy","2025","2026-07-04","免费"
"resource-032","中小学人工智能通识教育指南（2025年版）","中国内地中小学人工智能通识教育指南","政策框架","AI Literacy","中小学AI通识教育/课程指南","中小学","教师/课程设计者/学校领导","简体中文","中国内地","教育部基础教育教学指导委员会","该指南面向中小学人工智能通识教育，提出学段目标、内容组织和实施建议，是中国内地学校规划 AI 素养课程的重要参考。","学校可据此建立学段进阶表：小学重体验和认识，初中重原理和应用，高中重综合项目和社会影响。","https://www.edu.cn/xxh/focus/zc/202505/t20250513_2667990.shtml","2025","2026-07-04","免费"
"resource-033","人教人工智能通识教育平台","人教人工智能通识教育平台","课程/教材","AI Literacy","中小学AI通识课程/教材平台","中小学","教师/学生","简体中文","中国内地","人民教育出版社","人民教育出版社的人教人工智能通识教育平台面向中小学 AI 通识学习，提供课程、资源和平台化学习入口。","可作为中文 AI 通识教材入口，教师可按章节选择概念讲解、练习和项目任务。","https://www.pep.com.cn/products/sz/jjfa/rjrgzntsjypt/","2025","2026-07-04","未知"
"resource-034","广州人工智能赋能教学平台相关报道","广州中小学 AI 教学平台与课例资源","课程/教材","AI+STEM","AI平台/课例/中小学课堂","中小学","教师/学生","简体中文","中国内地","广州市教育局/广州市人民政府","广州市相关页面介绍 AI 赋能教学平台与学校应用，提供面向中小学课堂的课例和平台实践线索。","可用于查找本地化中文课例，教师重点记录“学科目标、AI功能、学生产出、评价方式”四项。","https://www.gz.gov.cn/zwfw/zxfw/jyfw7/content/post_10264203.html","2025","2026-07-04","免费"
"resource-035","国家智慧教育公共服务平台","国家智慧教育公共服务平台","资源目录","AI Literacy","智慧教育资源/课程资源/数字学习","中小学/职业教育/高等教育","教师/学生/家长","简体中文","中国内地","国家智慧教育公共服务平台","国家智慧教育公共服务平台汇集基础教育、职业教育、高等教育和终身学习资源，是中文教育资源检索的重要入口。","可作为资源补充入口：在 AI 教育主题下检索同步课堂、专题资源和教师研修内容。","https://www.smartedu.cn/","2024","2026-07-04","免费"
"resource-036","科學（中一至中三）：人工智能學與教示例","香港教育局初中科学 AI 学与教示例","课堂工具包","AI+STEM","初中科学/AI学与教/开放题反馈","初中","科学教师/课程主任","繁体中文","香港","香港教育局","香港教育局提供初中科学中使用 AI 的学与教示例，涵盖科学阅读、模型建构、开放题反馈和社会科学议题讨论等课堂场景。","科学科组可直接按示例建立三节课：课前阅读支架、课堂模型建构、课后开放题反馈。","https://www.edb.gov.hk/tc/curriculum-development/kla/science-edu/ai-for-sci.html","2024","2026-07-04","免费"
"resource-037","人工智能：網上自學課程及工作坊","香港教育城学生 AI 网上自学课程及工作坊","学生课程","AI Literacy","AI基础/Python/机器学习/创意AI","小学/中学","学生","繁体中文","香港","香港教育城","香港教育城面向学生提供 AI 自学课程和工作坊，主题包含 AI 基础、Python、机器学习、NLP、计算机视觉和创意 AI 项目。","适合学校作为课外自学路径：学生先完成基础模块，再选择一个创意 AI 项目提交作品和反思。","https://student.edcity.hk/pri/zh-hant/piccks-post/202526/%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD-%E7%B6%B2%E4%B8%8A%E8%87%AA%E5%AD%B8%E8%AA%B2%E7%A8%8B%E5%8F%8A%E5%B7%A5%E4%BD%9C%E5%9D%8A/","2025","2026-07-04","需注册"
"resource-038","AI x 教育：人工智能教育應用研討會暨應用展","香港教育城 AI x 教育研讨会与应用展资源","资源目录","AI for Teaching & Assessment","AI研讨会/工作坊/示范课/学校实践","教师教育/中小学","教师/学校领导","繁体中文","香港","香港教育城/香港教育局","香港教育城 AI x 教育页面汇集研讨会、应用展、示范课和工作坊信息，便于教师了解香港学校 AI 教育应用实践。","学校可把它作为教师专业发展资源，筛选适合本校科组的示范课和应用展示，再形成校本试点清单。","https://web.edcity.hk/zh-hant/aied/home/","2026","2026-07-04","免费"
"resource-039","k12gpt.ai","香港教育城 k12gpt.ai 教学平台","课堂工具包","AI for Teaching & Assessment","生成式AI平台/知识库GPT/个性化学习","中小学","教师/学生/学校","繁体中文","香港","香港教育城","k12gpt.ai 是香港教育城介绍的 K-12 生成式 AI 教学平台，支持可编辑场景和知识库式对话应用。","适合教师建立受控 AI 对话任务：先上传限定资料，再让学生围绕课程问题提问并核查回答。","https://www.edcity.hk/home/zh-hant/edmarket/edtech-solutions/k12gpt-ai/","2025","2026-07-04","付费/订阅"
"resource-040","AI 於英文聽說讀寫教學應用","香港教育城 AI 在英文听说读写教学应用培训","教师指南","AI+Humanities","英文教学/听说读写/AI反馈","教师教育/中小学","英文教师","繁体中文","香港","香港教育城","香港教育城教师培训聚焦 AI 在英文听、说、读、写中的教学应用和学校案例，适合英文科组规划 AI 辅助语言学习。","英文科组可把听说读写拆成四个任务包：AI 生成材料、学生练习、AI 初步反馈、教师最终点评。","https://teacher.edcity.hk/zh-hant/edacademy-whats-new/%E6%95%B8%E5%AD%97%E6%95%99%E8%82%B2%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E5%B0%88%E6%A5%AD%E5%9F%B9%E8%A8%93%E7%B3%BB%E5%88%97ai-%E6%96%BC%E8%8B%B1%E6%96%87%E8%81%BD/","2025","2026-07-04","需注册"
