"id","title_cn","prompt_type","skill_domain","category","subject","education_level","audience","output_format","ai_tool_or_method","prompt_cn","use_case_cn","required_inputs","optional_inputs","output_schema","evidence_strength","evidence_sources","limitations_cn","next_steps","tested_models","verification_checklist","privacy_note","version","source_title","source_url","canonical_url","accessed_date","last_verified_date","link_status","http_status","redirect_url","quality_score","quality_label"
"prompt-011","数学概念多表征解释器","教材生成","教材与认知支架","AI+STEM","Math","小学/初中/高中","数学教师","概念讲解材料","ChatGPT/Gemini/Copilot","请用多表征方式解释数学概念：[概念]，面向[年级]学生。请输出：1. 一句话直觉解释；2. 生活类比；3. 符号表示；4. 图像/数轴/表格说明；5. 两个递进例题；6. 一个常见误解和纠正方法；7. 一个让学生自己解释的提问。不要跳过推理步骤。","用于把抽象数学概念转成图像、语言、例题和生活情境。","概念；年级","学生已有基础；可用设备；课堂时间；本校要求","概念讲解材料；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","Google for Education Ready-to-use AI prompts for teaching","生成结果可能出现事实错误、课程错配或不适合本班情境的活动，教师必须核对后再使用。","再生成分层版本，并用事实核查清单检查内容。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否完成最终审阅","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","Google for Education Ready-to-use AI prompts for teaching","https://edu.google.com/intl/ALL_us/resources/ai-for-k-12-educators/","https://edu.google.com/intl/ALL_us/resources/ai-for-k-12-educators","2026-07-08","2026-09-10","ok","206","","53","资料不完整"
"prompt-012","数学错因诊断与补救练习","评价反馈","评价与反馈","AI+STEM","Math","小学/初中/高中","数学教师","错因分析与练习","ChatGPT/Gemini/Copilot","请分析这个数学错误并设计补救练习。题目：[题目]；学生答案：[学生答案]；正确答案：[正确答案，如有]；年级：[年级]。请输出：1. 学生可能的错因；2. 教师追问问题；3. 一个微型讲解；4. 3道由易到难的补救题；5. 每题答案和关键步骤。不要只说“粗心”。","用于根据学生错误生成针对性补救题。","题目；学生答案；正确答案，如有；年级","学生已有基础；可用设备；课堂时间；本校要求","错因分析与练习；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","Teaching Channel 65 AI Prompts for Lesson Planning","AI 反馈只能作为教师判断的辅助，不能代替教师核对课程目标、学生实际表现和评价公平性。","抽样核对 AI 建议，再根据学生后续表现调整反馈。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否保留最终评价责任","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","Teaching Channel 65 AI Prompts for Lesson Planning","https://www.teachingchannel.com/k12-hub/blog/65-ai-prompts-for-lesson-planning/","https://teachingchannel.com/k12-hub/blog/65-ai-prompts-for-lesson-planning","2026-07-08","2026-09-12","ok","200","","56","基本可用"
"prompt-013","真实情境数学应用题生成器","练习与作业","练习与学习科学","AI+STEM","Math","小学/初中/高中","数学教师","应用题与答案","ChatGPT/Gemini/Copilot","请围绕数学知识点：[知识点]，为[年级]学生设计5道真实情境应用题。场景尽量贴近[地区/学校生活/社区]。题目要由易到难，至少1题需要解释理由。请输出：题目、涉及知识点、解题步骤、答案、可接受的不同解法。避免使用不真实或无法核查的数据。","用于把数学知识和香港/本地生活场景连接起来。","知识点；年级；地区/学校生活/社区","学生已有基础；可用设备；课堂时间；本校要求","应用题与答案；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","AI for Education Prompt Library","生成结果可能出现事实错误、课程错配或不适合本班情境的活动，教师必须核对后再使用。","先用一小组学生或一段材料试用，再根据结果补充约束并迭代 Prompt。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否完成最终审阅","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","AI for Education Prompt Library","https://www.aiforeducation.io/prompt-library","https://aiforeducation.io/prompt-library","2026-07-08","2026-09-10","ok","206","","56","基本可用"
"prompt-014","数学建模小项目设计","项目学习","项目式学习","AI+STEM","Math","初中/高中","数学教师","项目任务书","ChatGPT/Gemini/Copilot","请设计一个[年级]数学建模小项目，主题：[真实问题]，需要用到：[数学知识点]。请输出：项目背景、驱动问题、数据来源建议、建模步骤、学生分工、最终作品格式、评价量规、AI可用和不可用的环节。请提醒学生说明假设和模型限制。","用于让学生用数据和模型解决真实问题。","年级；真实问题；数学知识点","学生已有基础；可用设备；课堂时间；本校要求","项目任务书；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","Columbia CTL Prompt Library","生成结果可能出现事实错误、课程错配或不适合本班情境的活动，教师必须核对后再使用。","先用一小组学生或一段材料试用，再根据结果补充约束并迭代 Prompt。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否完成最终审阅","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","Columbia CTL Prompt Library","https://ai.ctl.columbia.edu/explore/prompts/","https://ai.ctl.columbia.edu/explore/prompts","2026-07-08","2026-09-12","ok","200","","54","资料不完整"
"prompt-015","科学实验设计助手","备课设计","课程设计与评价","AI+STEM","Science","小学/初中/高中","科学教师","实验方案","ChatGPT/Gemini/Copilot","请帮我设计一个课堂科学实验。主题：[主题]；年级：[年级]；核心概念：[概念]；可用材料：[材料]；安全限制：[限制]。请输出：实验问题、假设、变量、步骤、数据记录表、预期现象、常见误差、安全提醒、讨论题。请避免危险材料或不可控步骤。","用于把科学问题转成安全、可操作的课堂实验。","主题；年级；概念；材料；限制","学生已有基础；可用设备；课堂时间；本校要求","实验方案；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","Microsoft Learn AI for education","生成结果可能出现事实错误、课程错配或不适合本班情境的活动，教师必须核对后再使用。","再用评价反馈模板检查目标、活动与评价是否对齐。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否完成最终审阅","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","Microsoft Learn AI for education","https://learn.microsoft.com/en-us/training/educator-center/topics/ai-for-education","https://learn.microsoft.com/en-us/training/educator-center/topics/ai-for-education","2026-07-08","2026-09-11","ok","206","","54","资料不完整"
"prompt-016","科学概念误解纠正器","评价反馈","评价与反馈","AI+STEM","Science","小学/初中/高中","科学教师","误解诊断卡","ChatGPT/Gemini/Copilot","请针对科学概念：[概念]，列出[年级]学生最可能出现的5个误解。每个误解请给出：学生可能说的话、为什么会这样想、一个演示/类比/问题来纠正、教师追问、简短正确解释。请把解释控制在学生可理解水平。","用于将学生的错误想法转化为可讨论的概念冲突。","概念；年级","学生已有基础；可用设备；课堂时间；本校要求","误解诊断卡；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","Google for Education Ready-to-use AI prompts for teaching","AI 反馈只能作为教师判断的辅助，不能代替教师核对课程目标、学生实际表现和评价公平性。","抽样核对 AI 建议，再根据学生后续表现调整反馈。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否保留最终评价责任","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","Google for Education Ready-to-use AI prompts for teaching","https://edu.google.com/intl/ALL_us/resources/ai-for-k-12-educators/","https://edu.google.com/intl/ALL_us/resources/ai-for-k-12-educators","2026-07-08","2026-09-10","ok","206","","52","资料不完整"
"prompt-017","科学探究问题生成器","项目学习","项目式学习","AI+STEM","Science","小学高年级/初中/高中","科学教师/学生","探究问题清单","ChatGPT/Gemini/Copilot","请围绕现象：[现象描述]，为[年级]学生生成10个科学探究问题。请按难度分为入门、标准、挑战三组。每个问题请说明：可观察/可测量的变量、需要的数据、可能的实验或资料来源、适合小组还是个人完成。剔除无法在学校条件下调查的问题。","用于引导学生从现象发展出可调查问题。","现象描述；年级","学生已有基础；可用设备；课堂时间；本校要求","探究问题清单；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","Teaching Channel 65 AI Prompts for Lesson Planning","生成结果可能出现事实错误、课程错配或不适合本班情境的活动，教师必须核对后再使用。","先用一小组学生或一段材料试用，再根据结果补充约束并迭代 Prompt。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否完成最终审阅","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","Teaching Channel 65 AI Prompts for Lesson Planning","https://www.teachingchannel.com/k12-hub/blog/65-ai-prompts-for-lesson-planning/","https://teachingchannel.com/k12-hub/blog/65-ai-prompts-for-lesson-planning","2026-07-08","2026-09-12","ok","200","","54","资料不完整"
"prompt-018","科学阅读导读与证据标注","教材生成","教材与认知支架","AI+STEM","Science","初中/高中","科学教师","阅读学习单","ChatGPT/Gemini/Copilot","请把以下科学文本改造成一份阅读导读学习单。年级：[年级]；学习目标：[目标]；文本：[粘贴文本]。请输出：关键词表、段落主旨、3个证据定位问题、2个推理问题、1个质疑问题、学生需要回到原文标注的句子类型。不要替学生完成全部答案。","用于让学生阅读科学文章时抓关键词、证据和论证。","年级；目标；粘贴文本","学生已有基础；可用设备；课堂时间；本校要求","阅读学习单；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","AI for Education Prompt Library","生成结果可能出现事实错误、课程错配或不适合本班情境的活动，教师必须核对后再使用。","再生成分层版本，并用事实核查清单检查内容。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否完成最终审阅","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","AI for Education Prompt Library","https://www.aiforeducation.io/prompt-library","https://aiforeducation.io/prompt-library","2026-07-08","2026-09-10","ok","206","","53","资料不完整"
"prompt-019","编程任务生成器","练习与作业","练习与学习科学","AI+STEM","Coding / CS","小学高年级/初中/高中/大学","编程教师","编程任务书","ChatGPT/Gemini/Copilot","请设计一个[语言，如Python/Scratch/JavaScript]编程任务，目标概念：[概念]；学生水平：[水平]；主题情境：[情境]。请输出：任务描述、输入输出要求、示例、分步提示、3组测试数据、拓展挑战、评分标准。不要直接给完整代码，除非我明确要求。","用于按学生水平生成有输入、输出和测试样例的编程任务。","语言，如Python/Scratch/JavaScript；概念；水平；情境","学生已有基础；可用设备；课堂时间；本校要求","编程任务书；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","Microsoft Learn AI for education","生成结果可能出现事实错误、课程错配或不适合本班情境的活动，教师必须核对后再使用。","先用一小组学生或一段材料试用，再根据结果补充约束并迭代 Prompt。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否完成最终审阅","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","Microsoft Learn AI for education","https://learn.microsoft.com/en-us/training/educator-center/topics/ai-for-education","https://learn.microsoft.com/en-us/training/educator-center/topics/ai-for-education","2026-07-08","2026-09-11","ok","206","","61","基本可用"
"prompt-020","代码调试提示生成器","学生支持","元认知与学生支持","AI+STEM","Coding / CS","初中/高中/大学","编程教师/学生","调试提示","ChatGPT/Gemini/Copilot","你是编程助教。请阅读学生代码并只提供逐步调试提示，不要直接给最终答案。任务要求：[任务要求]；学生代码：[粘贴代码]；错误信息或问题：[问题]。请输出：1. 代码当前可能在做什么；2. 最可能的3个问题；3. 逐步检查清单；4. 一个最小修改建议；5. 让学生自己验证的测试用例。","用于给学生提示而不是直接给答案。","任务要求；粘贴代码；问题","学生已有基础；可用设备；课堂时间；本校要求","调试提示；包含目标、步骤、教师提示、学生产出、评价证据和调整建议。","实践框架","Google for Education Ready-to-use AI prompts for teaching","生成结果可能简化学生差异；使用前必须由教师核对难度、语言、可访问性和标签化风险。","先用一小组学生或一段材料试用，再根据结果补充约束并迭代 Prompt。","ChatGPT/Gemini/Copilot","事实与引用是否可核实；是否符合学习目标与学段；任务是否要求学生主动思考；评价标准是否清楚且公平；是否已经删除个人资料；教师是否完成最终审阅","不要输入学生真实姓名、联系方式、健康资料、成绩明细或其他可识别个人资料；必要时先匿名化。","1.0","Google for Education Ready-to-use AI prompts for teaching","https://edu.google.com/intl/ALL_us/resources/ai-for-k-12-educators/","https://edu.google.com/intl/ALL_us/resources/ai-for-k-12-educators","2026-07-08","2026-09-10","ok","206","","56","基本可用"
